,bike_name,price,kms_driven,owner,age,power,brand
2623,Bajaj Discover 150F,26200,17000,First,6,150,Bajaj
2624,Royal Enfield Thunderbird,75500,25212,First,6,350,Royal Enfield
2625,Bajaj Pulsar RS200,110000,4831,First,3,200,Bajaj
2626,TVS Star City,28000,21171,First,5,110,TVS
2627,Hero Splendor Plus,42000,12737,First,4,100,Hero
2628,TVS Apache RTR,34500,13219,First,9,160,TVS
2629,Bajaj Discover 135cc,17900,23719,First,14,135,Bajaj
2630,Hero Splendor iSmart,34000,13820,First,7,100,Hero
2631,Yamaha FZ S,90000,10000,First,3,150,Yamaha
2632,Yamaha FZs 150cc,45000,33000,First,9,150,Yamaha
2633,Benelli 302R 300CC,320000,8000,First,3,302,Benelli
2634,Royal Enfield Bullet,80000,24000,First,12,350,Royal Enfield
2635,Royal Enfield Himalayan,200000,8094,First,3,410,Royal Enfield
2636,Bajaj Pulsar 150cc,50000,6150,First,3,150,Bajaj
2637,Bajaj Pulsar RS200,70000,17187,First,5,200,Bajaj
2638,Royal Enfield Bullet,84000,39301,First,5,350,Royal Enfield
2639,Royal Enfield Classic,140000,7300,First,3,350,Royal Enfield
2640,Hero Hunk 150cc,29000,67987,Second,5,150,Hero
2641,Hero HF Deluxe,23000,14244,First,7,100,Hero
2642,KTM RC 390cc,96000,25000,First,7,390,KTM
2643,Hero Honda Splendor,24000,20000,First,9,100,Hero
2644,Bajaj Pulsar 180cc,51000,9200,First,5,180,Bajaj
2645,Bajaj Avenger Cruise,89700,918,First,4,220,Bajaj
2646,KTM RC 125CC,135000,5000,First,2,125,KTM
2647,Hero Passion Pro,23000,38499,Second,11,100,Hero
2648,Bajaj Pulsar 180cc,12000,38000,First,15,180,Bajaj
2649,Bajaj Discover 100cc,25500,19000,First,8,100,Bajaj
2650,Royal Enfield Thunderbird,110000,9000,First,7,500,Royal Enfield
2651,Bajaj Pulsar 220cc,65000,30000,First,9,220,Bajaj
2652,Yamaha YZF-R15 150cc,73000,11000,First,7,150,Yamaha
2653,Bajaj Pulsar RS200,90000,16000,Second,6,200,Bajaj
2654,Royal Enfield Classic,165000,19500,First,6,500,Royal Enfield
2655,Bajaj V15 150cc,60000,4000,First,4,150,Bajaj
2656,Hero Splendor+ 100cc,20000,25000,First,7,100,Hero
2657,Bajaj Avenger Street,67000,30000,First,5,150,Bajaj
2658,Yamaha FZ25 250cc,115000,3195,First,4,250,Yamaha
2659,Hero CD Deluxe,19000,18000,Second,9,100,Hero
2660,Royal Enfield Classic,107900,9767,First,7,350,Royal Enfield
2661,Royal Enfield Thunderbird,115000,9100,First,8,350,Royal Enfield
2662,Bajaj Avenger 220cc,41245,55000,First,9,220,Bajaj
2663,Royal Enfield Classic,97100,15000,First,8,350,Royal Enfield
